designations,properties.campus.oneOf.additionalProperties,false
designations,properties.campus.oneOf.required,id
designations,properties.campus.oneOf.type,object
designations,properties.campus.oneOf.maxProperties,
designations,properties.generalLedgerAccounts.title,General Ledger Accounts
designations,properties.generalLedgerAccounts.description,The general ledger accounts associated with the designation.
designations,properties.generalLedgerAccounts.type,array
designations,properties.generalLedgerAccounts.items.type,object
designations,properties.generalLedgerAccounts.items.properties.entryType.title,Entry Type
designations,properties.generalLedgerAccounts.items.properties.entryType.description,The the GL entry type applicable to the account code.
designations,properties.generalLedgerAccounts.items.properties.entryType.enum,credit;debit
designations,properties.generalLedgerAccounts.items.properties.entryType.type,string
designations,properties.generalLedgerAccounts.items.properties.transactionType.title,Transaction Type
designations,properties.generalLedgerAccounts.items.properties.transactionType.description,A detailed general ledger transaction type applicable to the account code.
designations,properties.generalLedgerAccounts.items.properties.transactionType.type,object
designations,properties.generalLedgerAccounts.items.properties.transactionType.properties.id.title,ID
designations,properties.generalLedgerAccounts.items.properties.transactionType.properties.id.description,The global identifier for Transaction Type
designations,properties.generalLedgerAccounts.items.properties.transactionType.properties.id.type,string
designations,properties.generalLedgerAccounts.items.properties.transactionType.properties.id.format,guid
designations,properties.generalLedgerAccounts.items.properties.transactionType.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.generalLedgerAccounts.items.properties.transactionType.links.rel,self
designations,properties.generalLedgerAccounts.items.properties.transactionType.links.href,/accounting-transaction-types/{id}
designations,properties.generalLedgerAccounts.items.properties.transactionType.links.targetSchema.$ref,accounting-transaction-types.json#
designations,properties.generalLedgerAccounts.items.properties.transactionType.additionalProperties,false
designations,properties.generalLedgerAccounts.items.properties.transactionType.required,id
designations,properties.generalLedgerAccounts.items.properties.accountComponents.title,Account Component
designations,properties.generalLedgerAccounts.items.properties.accountComponents.description,
designations,properties.generalLedgerAccounts.items.properties.accountComponents.type,array
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.type,object
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.title,Account Component
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.description,A component part of an account.
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.type,object
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.properties.id.title,ID
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.properties.id.description,The global identifier for Account Component
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.properties.id.type,string
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.properties.id.format,guid
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.links.rel,self
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.links.href,/account-components/{id}
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.links.targetSchema.$ref,account-components.json#
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.additionalProperties,false
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.accountComponent.required,id
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.value.title,Value
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.value.description,The value of the account component
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.properties.value.type,string
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.additionalProperties,false
designations,properties.generalLedgerAccounts.items.properties.accountComponents.items.required,accountComponent;value
designations,properties.generalLedgerAccounts.items.additionalProperties,false
designations,properties.generalLedgerAccounts.items.required,entryType;accountComponents
designations,properties.areaOfGiving.title,Area of Giving
designations,properties.areaOfGiving.description,The area of giving associated with a designation.
designations,properties.areaOfGiving.oneOf.type,object
designations,properties.areaOfGiving.oneOf.properties.id.title,ID
designations,properties.areaOfGiving.oneOf.properties.id.description,The global identifier for Area of Giving
designations,properties.areaOfGiving.oneOf.properties.id.type,string
designations,properties.areaOfGiving.oneOf.properties.id.format,guid
designations,properties.areaOfGiving.oneOf.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.areaOfGiving.oneOf.links.rel,self
designations,properties.areaOfGiving.oneOf.links.href,/areas-of-giving/{id}
designations,properties.areaOfGiving.oneOf.links.targetSchema.$ref,areas-of-giving.json#
designations,properties.areaOfGiving.oneOf.additionalProperties,false
designations,properties.areaOfGiving.oneOf.required,id
designations,properties.areaOfGiving.oneOf.type,object
designations,properties.areaOfGiving.oneOf.maxProperties,
designations,properties.purpose.title,Purpose
designations,properties.purpose.description,The purpose of the designation.
designations,properties.purpose.oneOf.type,object
designations,properties.purpose.oneOf.properties.id.title,ID
designations,properties.purpose.oneOf.properties.id.description,The global identifier for Purpose
designations,properties.purpose.oneOf.properties.id.type,string
designations,properties.purpose.oneOf.properties.id.format,guid
designations,properties.purpose.oneOf.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.purpose.oneOf.links.rel,self
designations,properties.purpose.oneOf.links.href,/designation-purposes/{id}
designations,properties.purpose.oneOf.links.targetSchema.$ref,designation-purposes.json#
designations,properties.purpose.oneOf.additionalProperties,false
designations,properties.purpose.oneOf.required,id
designations,properties.purpose.oneOf.type,object
designations,properties.purpose.oneOf.maxProperties,
designations,properties.fundingGoal.title,Funding Goal
designations,properties.fundingGoal.description,The desired amount of funds for the designation.
designations,properties.fundingGoal.oneOf.type,object
designations,properties.fundingGoal.oneOf.properties.currency.title,currency
designations,properties.fundingGoal.oneOf.properties.currency.description,
designations,properties.fundingGoal.oneOf.properties.currency.type,object
designations,properties.fundingGoal.oneOf.properties.currency.properties.value.title,Value
designations,properties.fundingGoal.oneOf.properties.currency.properties.value.description,
designations,properties.fundingGoal.oneOf.properties.currency.properties.value.minimum,
designations,properties.fundingGoal.oneOf.properties.currency.properties.value.type,number
designations,properties.fundingGoal.oneOf.properties.currency.properties.value.format,positiveNumber
designations,properties.fundingGoal.oneOf.properties.currency.properties.currency.title,Currency
designations,properties.fundingGoal.oneOf.properties.currency.properties.currency.description,
designations,properties.fundingGoal.oneOf.properties.currency.properties.currency.enum,AED;AFN;ALL;AMD;ANG;AOA;ARS;AUD;AWG;AZN;BAM;BBD;BDT;BGN;BHD;BIF;BMD;BND;BOB;BRL;BSD;BTN;BWP;BYR;BZD;CAD;CDF;CHF;CLP;CNY;COP;CRC;CUC;CUP;CVE;CZK;DJF;DKK;DOP;DZD;EGP;ERN;ETB;EUR;FJD;FKP;GBP;GEL;GHS;GIP;GMD;GNF;GTQ;GYD;HKD;HNL;HRK;HTG;HUF;IDR;ILS;INR;IQD;IRR;ISK;JMD;JOD;JPY;KES;KGS;KHR;KMF;KPW;KRW;KWD;KYD;KZT;LAK;LBP;LKR;LRD;LSL;LYD;MAD;MDL;MGA;MKD;MMK;MNT;MOP;MRO;MUR;MVR;MWK;MXN;MYR;MZN;NAD;NGN;NIO;NOK;NPR;NZD;OMR;PAB;PEN;PGK;PHP;PKR;PLN;PYG;QAR;RON;RSD;RUB;RWF;SAR;SBD;SCR;SDG;SEK;SGD;SHP;SLL;SOS;SRD;SSP;STD;SVC;SYP;SZL;THB;TJS;TMT;TND;TOP;TRY;TTD;TWD;TZS;UAH;UGX;USD;UYU;UZS;VEF;VND;VUV;WST;XAF;XCD;XOF;XPF;YER;ZAR;ZMW;ZWL
designations,properties.fundingGoal.oneOf.properties.currency.properties.currency.type,string
designations,properties.fundingGoal.oneOf.properties.currency.additionalProperties,false
designations,properties.fundingGoal.oneOf.properties.currency.required,value;currency
designations,properties.fundingGoal.oneOf.additionalProperties,false
designations,properties.fundingGoal.oneOf.format,currency
designations,properties.fundingGoal.oneOf.type,object
designations,properties.fundingGoal.oneOf.maxProperties,
designations,properties.vsePurpose.title,VSE Purpose
designations,properties.vsePurpose.description,VSE Survey purpose category.
designations,properties.vsePurpose.oneOf.title,One Of-1
designations,properties.vsePurpose.oneOf.description,
designations,properties.vsePurpose.oneOf.type,object
designations,properties.vsePurpose.oneOf.properties.purpose.title,Purpose
designations,properties.vsePurpose.oneOf.properties.purpose.description,VSE Survey purpose category.
designations,properties.vsePurpose.oneOf.properties.purpose.enum,currentRestricted
designations,properties.vsePurpose.oneOf.properties.purpose.type,string
designations,properties.vsePurpose.oneOf.properties.subPurpose.title,Subpurpose
designations,properties.vsePurpose.oneOf.properties.subPurpose.description,VSE Survey sub-purpose category.
designations,properties.vsePurpose.oneOf.properties.subPurpose.enum,academicDivisions;compensation;research;extensionServices;library;physicalPlant;financialAid;athletics;other
designations,properties.vsePurpose.oneOf.properties.subPurpose.type,string
designations,properties.vsePurpose.oneOf.additionalProperties,false
designations,properties.vsePurpose.oneOf.required,purpose;subPurpose
designations,properties.vsePurpose.oneOf.title,One Of-2
designations,properties.vsePurpose.oneOf.description,
designations,properties.vsePurpose.oneOf.type,object
designations,properties.vsePurpose.oneOf.properties.purpose.title,Purpose
designations,properties.vsePurpose.oneOf.properties.purpose.description,VSE Survey purpose category.
designations,properties.vsePurpose.oneOf.properties.purpose.enum,currentUnrestricted;property;buildings;endowmentUnrestricted;endowmentRestricted;loan;deferred
designations,properties.vsePurpose.oneOf.properties.purpose.type,string
designations,properties.vsePurpose.oneOf.additionalProperties,false
designations,properties.vsePurpose.oneOf.required,purpose
designations,properties.vsePurpose.oneOf.type,object
designations,properties.vsePurpose.oneOf.maxProperties,
designations,properties.financialAidFunds.title,Financial Aid Fund
designations,properties.financialAidFunds.description,The financial aid funds associated with a designation.
designations,properties.financialAidFunds.type,array
designations,properties.financialAidFunds.items.title,Financial Aid Fund
designations,properties.financialAidFunds.items.description,The financial aid funds associated with a designation.
designations,properties.financialAidFunds.items.type,object
designations,properties.financialAidFunds.items.properties.id.title,ID
designations,properties.financialAidFunds.items.properties.id.description,The global identifier for Financial Aid Fund
designations,properties.financialAidFunds.items.properties.id.type,string
designations,properties.financialAidFunds.items.properties.id.format,guid
designations,properties.financialAidFunds.items.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.financialAidFunds.items.links.rel,self
designations,properties.financialAidFunds.items.links.href,/financial-aid-funds/{id}
designations,properties.financialAidFunds.items.links.targetSchema.$ref,financial-aid-funds.json#
designations,properties.financialAidFunds.items.additionalProperties,false
designations,properties.financialAidFunds.items.required,id
designations,properties.fundsRestriction.title,Funds Restriction
designations,properties.fundsRestriction.description,donor restrictions on funds, or constraints on the usage of funds
designations,properties.fundsRestriction.oneOf.type,string
designations,properties.fundsRestriction.oneOf.enum,unrestricted;temporary;permanent
designations,properties.fundsRestriction.oneOf.type,string
designations,properties.fundsRestriction.oneOf.maxLength,
designations,properties.restrictions.title,Restriction
designations,properties.restrictions.description,The restrictions associated with a designation.
designations,properties.restrictions.type,array
designations,properties.restrictions.items.title,Restriction
designations,properties.restrictions.items.description,The restrictions associated with a designation.
designations,properties.restrictions.items.type,object
designations,properties.restrictions.items.properties.id.title,ID
designations,properties.restrictions.items.properties.id.description,The global identifier for Restriction
designations,properties.restrictions.items.properties.id.type,string
designations,properties.restrictions.items.properties.id.format,guid
designations,properties.restrictions.items.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.restrictions.items.links.rel,self
designations,properties.restrictions.items.links.href,/designation-restrictions/{id}
designations,properties.restrictions.items.links.targetSchema.$ref,designation-restrictions.json#
designations,properties.restrictions.items.additionalProperties,false
designations,properties.restrictions.items.required,id
designations,properties.organizations.title,Organization
designations,properties.organizations.description,The organizations associated with a designation.
designations,properties.organizations.type,array
designations,properties.organizations.items.title,Organization
designations,properties.organizations.items.description,The organizations associated with a designation.
designations,properties.organizations.items.type,object
designations,properties.organizations.items.properties.id.title,ID
designations,properties.organizations.items.properties.id.description,The global identifier for Organization
designations,properties.organizations.items.properties.id.type,string
designations,properties.organizations.items.properties.id.format,guid
designations,properties.organizations.items.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.organizations.items.links.rel,self
designations,properties.organizations.items.links.href,/organizations/{id}
designations,properties.organizations.items.links.targetSchema.$ref,organizations.json#
designations,properties.organizations.items.additionalProperties,false
designations,properties.organizations.items.required,id
designations,properties.comment.title,Comment
designations,properties.comment.description,A comment associated with the designation.
designations,properties.comment.type,string
designations,properties.assignments.title,Assignment
designations,properties.assignments.description,Designation assignments
designations,properties.assignments.type,array
designations,properties.assignments.items.type,object
designations,properties.assignments.items.properties.assignee.title,Assignee
designations,properties.assignments.items.properties.assignee.description,
designations,properties.assignments.items.properties.assignee.oneOf.title,One Of-1
designations,properties.assignments.items.properties.assignee.oneOf.description,
designations,properties.assignments.items.properties.assignee.oneOf.type,object
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.title,Person
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.description,Assigned Person
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.type,object
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.properties.id.title,ID
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.properties.id.description,The global identifier for Person
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.properties.id.type,string
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.properties.id.format,guid
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.links.rel,self
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.links.href,/persons/{id}
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.links.targetSchema.$ref,persons.json#
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.additionalProperties,false
designations,properties.assignments.items.properties.assignee.oneOf.properties.person.required,id
designations,properties.assignments.items.properties.assignee.oneOf.additionalProperties,false
designations,properties.assignments.items.properties.assignee.oneOf.required,person
designations,properties.assignments.items.properties.assignee.oneOf.title,One Of-2
designations,properties.assignments.items.properties.assignee.oneOf.description,
designations,properties.assignments.items.properties.assignee.oneOf.type,object
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.title,Group
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.description,Assigned Group
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.type,object
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.properties.id.title,ID
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.properties.id.description,The global identifier for Group
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.properties.id.type,string
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.properties.id.format,guid
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.links.rel,self
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.links.href,/person-groups/{id}
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.links.targetSchema.$ref,person-groups.json#
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.additionalProperties,false
designations,properties.assignments.items.properties.assignee.oneOf.properties.group.required,id
designations,properties.assignments.items.properties.assignee.oneOf.additionalProperties,false
designations,properties.assignments.items.properties.assignee.oneOf.required,group
designations,properties.assignments.items.properties.role.title,Assignment Role
designations,properties.assignments.items.properties.role.description,The assignment role
designations,properties.assignments.items.properties.role.type,object
designations,properties.assignments.items.properties.role.properties.roleType.title,Type
designations,properties.assignments.items.properties.role.properties.roleType.description,A type of role.
designations,properties.assignments.items.properties.role.properties.roleType.enum,manager;other
designations,properties.assignments.items.properties.role.properties.roleType.type,string
designations,properties.assignments.items.properties.role.properties.detail.title,Detail
designations,properties.assignments.items.properties.role.properties.detail.description,
designations,properties.assignments.items.properties.role.properties.detail.oneOf.type,object
designations,properties.assignments.items.properties.role.properties.detail.oneOf.properties.id.title,ID
designations,properties.assignments.items.properties.role.properties.detail.oneOf.properties.id.description,The global identifier for Detail
designations,properties.assignments.items.properties.role.properties.detail.oneOf.properties.id.type,string
designations,properties.assignments.items.properties.role.properties.detail.oneOf.properties.id.format,guid
designations,properties.assignments.items.properties.role.properties.detail.oneOf.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
designations,properties.assignments.items.properties.role.properties.detail.oneOf.links.rel,self
designations,properties.assignments.items.properties.role.properties.detail.oneOf.links.href,/roles/{id}
designations,properties.assignments.items.properties.role.properties.detail.oneOf.links.targetSchema.$ref,roles.json#
designations,properties.assignments.items.properties.role.properties.detail.oneOf.additionalProperties,false
designations,properties.assignments.items.properties.role.properties.detail.oneOf.required,id
designations,properties.assignments.items.properties.role.properties.detail.oneOf.type,object
designations,properties.assignments.items.properties.role.properties.detail.oneOf.maxProperties,
designations,properties.assignments.items.properties.role.additionalProperties,false
designations,properties.assignments.items.properties.role.required,roleType
designations,properties.assignments.items.properties.preference.title,Preferred assignee
designations,properties.assignments.items.properties.preference.description,Indicates the preferred assignee for the designation.
designations,properties.assignments.items.properties.preference.oneOf.type,string
designations,properties.assignments.items.properties.preference.oneOf.enum,primary
designations,properties.assignments.items.properties.preference.oneOf.type,string
designations,properties.assignments.items.properties.preference.oneOf.maxLength,
designations,properties.assignments.items.properties.startOn.title,Start Date
designations,properties.assignments.items.properties.startOn.description,The start date of the assignment
designations,properties.assignments.items.properties.startOn.type,string
designations,properties.assignments.items.properties.startOn.format,date-time
designations,properties.assignments.items.properties.startOn.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
designations,properties.assignments.items.properties.endOn.title,End Date
designations,properties.assignments.items.properties.endOn.description,The end date of the assignment
designations,properties.assignments.items.properties.endOn.oneOf.type,string
designations,properties.assignments.items.properties.endOn.oneOf.format,date-time
designations,properties.assignments.items.properties.endOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
designations,properties.assignments.items.properties.endOn.oneOf.type,string
designations,properties.assignments.items.properties.endOn.oneOf.maxLength,
designations,properties.assignments.items.additionalProperties,false
designations,properties.assignments.items.required,assignee;role;startOn
designations,required,id;title;status
designations,additionalProperties,false
donation-credit-types,description,A credit type associated to a donation
donation-credit-types,type,object
donation-credit-types,properties.metadata.title,Metadata
donation-credit-types,properties.metadata.description,Metadata about the JSON payload
donation-credit-types,properties.metadata.type,object
donation-credit-types,properties.metadata.properties.createdBy.title,Created By
donation-credit-types,properties.metadata.properties.createdBy.description,The name of the originator (user or system) of the data. This is informational only, do not use in business logic!
donation-credit-types,properties.metadata.properties.createdBy.type,string
donation-credit-types,properties.metadata.properties.createdOn.title,Created On
donation-credit-types,properties.metadata.properties.createdOn.description,The date and time when the entity instance was created
donation-credit-types,properties.metadata.properties.createdOn.oneOf.type,string
donation-credit-types,properties.metadata.properties.createdOn.oneOf.format,date-time
donation-credit-types,properties.metadata.properties.createdOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
donation-credit-types,properties.metadata.properties.createdOn.oneOf.type,string
donation-credit-types,properties.metadata.properties.createdOn.oneOf.maxLength,
donation-credit-types,properties.metadata.properties.modifiedBy.title,Modified By
donation-credit-types,properties.metadata.properties.modifiedBy.description,The name of the modifier (user or system) of the data. This is informational only, do not use in business logic!
donation-credit-types,properties.metadata.properties.modifiedBy.type,string
donation-credit-types,properties.metadata.properties.modifiedOn.title,Modified On
donation-credit-types,properties.metadata.properties.modifiedOn.description,The date and time when the entity instance was last modified
donation-credit-types,properties.metadata.properties.modifiedOn.oneOf.type,string
donation-credit-types,properties.metadata.properties.modifiedOn.oneOf.format,date-time
donation-credit-types,properties.metadata.properties.modifiedOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
donation-credit-types,properties.metadata.properties.modifiedOn.oneOf.type,string
donation-credit-types,properties.metadata.properties.modifiedOn.oneOf.maxLength,
donation-credit-types,properties.metadata.additionalProperties,false
donation-credit-types,properties.id.title,ID
donation-credit-types,properties.id.description,A global identifier of a donation credit type
donation-credit-types,properties.id.type,string
donation-credit-types,properties.id.format,guid
donation-credit-types,properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
donation-credit-types,properties.title.title,Title
donation-credit-types,properties.title.description,The full name of a donation credit type.
donation-credit-types,properties.title.type,string
donation-credit-types,properties.title.minLength,1
donation-credit-types,properties.description.title,Description
donation-credit-types,properties.description.description,A description of a donation credit type.
donation-credit-types,properties.description.type,string
donation-credit-types,properties.creditType.title,Credit Type
donation-credit-types,properties.creditType.description,The type of credit given for the donation.
donation-credit-types,properties.creditType.oneOf.title,One Of-1
donation-credit-types,properties.creditType.oneOf.description,
donation-credit-types,properties.creditType.oneOf.type,object
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.title,Hard Credit
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.description,A hard credit
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.enum,hard
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.type,string
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.title,Hard Credit Reason
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.description,The reason for giving hard credit for the donation.
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.enum,recognition;legal;other
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.type,string
donation-credit-types,properties.creditType.oneOf.additionalProperties,false
donation-credit-types,properties.creditType.oneOf.required,donationCreditType;donationCreditTypeReason
donation-credit-types,properties.creditType.oneOf.title,One Of-2
donation-credit-types,properties.creditType.oneOf.description,
donation-credit-types,properties.creditType.oneOf.type,object
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.title,Soft Credit
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.description,A soft Credit
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.enum,soft
donation-credit-types,properties.creditType.oneOf.properties.donationCreditType.type,string
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.title,Soft Credit Reason
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.description,The reason for giving soft credit for the donation.
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.enum,matching;soft;other
donation-credit-types,properties.creditType.oneOf.properties.donationCreditTypeReason.type,string
donation-credit-types,properties.creditType.oneOf.additionalProperties,false
donation-credit-types,properties.creditType.oneOf.required,donationCreditType;donationCreditTypeReason
donation-credit-types,required,id;title;creditType
donation-credit-types,additionalProperties,false
donation-promises,description,A promised donation that has yet to be fulfilled
donation-promises,type,object
donation-promises,properties.metadata.title,Metadata
donation-promises,properties.metadata.description,Metadata about the JSON payload
donation-promises,properties.metadata.type,object
donation-promises,properties.metadata.properties.createdBy.title,Created By
donation-promises,properties.metadata.properties.createdBy.description,The name of the originator (user or system) of the data. This is informational only, do not use in business logic!
donation-promises,properties.metadata.properties.createdBy.type,string
donation-promises,properties.metadata.properties.createdOn.title,Created On
donation-promises,properties.metadata.properties.createdOn.description,The date and time when the entity instance was created
donation-promises,properties.metadata.properties.createdOn.oneOf.type,string
donation-promises,properties.metadata.properties.createdOn.oneOf.format,date-time
donation-promises,properties.metadata.properties.createdOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
donation-promises,properties.metadata.properties.createdOn.oneOf.type,string
donation-promises,properties.metadata.properties.createdOn.oneOf.maxLength,
donation-promises,properties.metadata.properties.modifiedBy.title,Modified By
donation-promises,properties.metadata.properties.modifiedBy.description,The name of the modifier (user or system) of the data. This is informational only, do not use in business logic!
donation-promises,properties.metadata.properties.modifiedBy.type,string
donation-promises,properties.metadata.properties.modifiedOn.title,Modified On
donation-promises,properties.metadata.properties.modifiedOn.description,The date and time when the entity instance was last modified
donation-promises,properties.metadata.properties.modifiedOn.oneOf.type,string
donation-promises,properties.metadata.properties.modifiedOn.oneOf.format,date-time
donation-promises,properties.metadata.properties.modifiedOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
donation-promises,properties.metadata.properties.modifiedOn.oneOf.type,string
donation-promises,properties.metadata.properties.modifiedOn.oneOf.maxLength,
donation-promises,properties.metadata.additionalProperties,false
donation-promises,properties.id.title,ID
donation-promises,properties.id.description,A global identifier of a promised donation.
donation-promises,properties.id.type,string
donation-promises,properties.id.format,guid
donation-promises,properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
donation-promises,properties.code.title,Code
donation-promises,properties.code.description,A human readable reference code to identify a particular donation promise.
donation-promises,properties.code.type,string
donation-promises,properties.type.title,Type
donation-promises,properties.type.description,The type of the promised donation.
donation-promises,properties.type.enum,pledge;recurring;matchingClaim
donation-promises,properties.type.type,string
donation-promises,properties.status.title,Status
donation-promises,properties.status.description,The status of the donation
donation-promises,properties.status.enum,active;inactive
donation-promises,properties.status.type,string
donation-promises,properties.promiseAmount.title,Promise Amount
donation-promises,properties.promiseAmount.description,
donation-promises,properties.promiseAmount.oneOf.type,object
donation-promises,properties.promiseAmount.oneOf.properties.currency.title,currency
donation-promises,properties.promiseAmount.oneOf.properties.currency.description,
donation-promises,properties.promiseAmount.oneOf.properties.currency.type,object
donation-promises,properties.promiseAmount.oneOf.properties.currency.properties.value.title,Value
donation-promises,properties.promiseAmount.oneOf.properties.currency.properties.value.description,
donation-promises,properties.promiseAmount.oneOf.properties.currency.properties.value.minimum,
donation-promises,properties.promiseAmount.oneOf.properties.currency.properties.value.type,number
donation-promises,properties.promiseAmount.oneOf.properties.currency.properties.value.format,positiveNumber
donation-promises,properties.promiseAmount.oneOf.properties.currency.properties.currency.title,Currency
donation-promises,properties.promiseAmount.oneOf.properties.currency.properties.currency.description,
