academic-catalogs,properties.academicPrograms.type,array
academic-catalogs,properties.academicPrograms.items.title,Academic Programs
academic-catalogs,properties.academicPrograms.items.description,Academic programs which make up the catalog.
academic-catalogs,properties.academicPrograms.items.type,object
academic-catalogs,properties.academicPrograms.items.properties.id.title,ID
academic-catalogs,properties.academicPrograms.items.properties.id.description,The global identifier for Academic Programs
academic-catalogs,properties.academicPrograms.items.properties.id.type,string
academic-catalogs,properties.academicPrograms.items.properties.id.format,guid
academic-catalogs,properties.academicPrograms.items.properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-catalogs,properties.academicPrograms.items.links.rel,self
academic-catalogs,properties.academicPrograms.items.links.href,/academic-programs/{id}
academic-catalogs,properties.academicPrograms.items.links.targetSchema.$ref,academic-programs.json#
academic-catalogs,properties.academicPrograms.items.additionalProperties,false
academic-catalogs,properties.academicPrograms.items.required,id
academic-catalogs,required,id;title;status
academic-catalogs,additionalProperties,false
academic-credentials,description,An award that recognize the completion of a specified course of study
academic-credentials,type,object
academic-credentials,properties.metadata.title,Metadata
academic-credentials,properties.metadata.description,Metadata about the JSON payload
academic-credentials,properties.metadata.type,object
academic-credentials,properties.metadata.properties.createdBy.title,Created By
academic-credentials,properties.metadata.properties.createdBy.description,The name of the originator (user or system) of the data. This is informational only, do not use in business logic!
academic-credentials,properties.metadata.properties.createdBy.type,string
academic-credentials,properties.metadata.properties.createdOn.title,Created On
academic-credentials,properties.metadata.properties.createdOn.description,The date and time when the entity instance was created
academic-credentials,properties.metadata.properties.createdOn.oneOf.type,string
academic-credentials,properties.metadata.properties.createdOn.oneOf.format,date-time
academic-credentials,properties.metadata.properties.createdOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-credentials,properties.metadata.properties.createdOn.oneOf.type,string
academic-credentials,properties.metadata.properties.createdOn.oneOf.maxLength,
academic-credentials,properties.metadata.properties.modifiedBy.title,Modified By
academic-credentials,properties.metadata.properties.modifiedBy.description,The name of the modifier (user or system) of the data. This is informational only, do not use in business logic!
academic-credentials,properties.metadata.properties.modifiedBy.type,string
academic-credentials,properties.metadata.properties.modifiedOn.title,Modified On
academic-credentials,properties.metadata.properties.modifiedOn.description,The date and time when the entity instance was last modified
academic-credentials,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-credentials,properties.metadata.properties.modifiedOn.oneOf.format,date-time
academic-credentials,properties.metadata.properties.modifiedOn.oneOf.pattern,^(-?(?:[1-9][0-9]*)?[0-9]{4})-(1[0-2]|0[1-9])-(3[0-1]|0[1-9]|[1-2][0-9])T(2[0-3]|[0-1][0-9]):([0-5][0-9]):([0-5][0-9])(\.[0-9]+)?(Z|[+-](?:2[0-3]|[0-1][0-9]):[0-5][0-9])?$
academic-credentials,properties.metadata.properties.modifiedOn.oneOf.type,string
academic-credentials,properties.metadata.properties.modifiedOn.oneOf.maxLength,
academic-credentials,properties.metadata.additionalProperties,false
academic-credentials,properties.id.title,ID
academic-credentials,properties.id.description,A global identifier of a degree.
academic-credentials,properties.id.type,string
academic-credentials,properties.id.format,guid
academic-credentials,properties.id.pattern,^[a-f0-9]{8}(?:-[a-f0-9]{4}){3}-[a-f0-9]{12}$
academic-credentials,properties.title.title,Title
academic-credentials,properties.title.description,The full name of a degree.
academic-credentials,properties.title.type,string
academic-credentials,properties.title.minLength,1
academic-credentials,properties.abbreviation.title,Abbreviation
academic-credentials,properties.abbreviation.description,An abbreviation used to identify a degree.
academic-credentials,properties.abbreviation.type,string
academic-credentials,properties.description.title,Description
academic-credentials,properties.description.description,A full description of a degree.
academic-credentials,properties.description.type,string
